type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Abronia oaxacae,(GÜNTHER 1885),,"E: Oaxacan Arboreal Alligator Lizard
S: Escorpión Arboricola de Oaxaca","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10030,
,Abronia ochoterenai,(MARTIN DEL CAMPO 1939),,"S: Escorpión Arboricola de Ochoterena
E: Ochoterena’s Arboreal Alligator Lizard, Northern Chiapas Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10031,
,Abronia ornelasi,CAMPBELL 1984,,"S: Escorpión Arboricola de Ornelas
E: Ornelas’s Arboreal Alligator Lizard, Cerro Baul Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10032,
,Abronia ramirezi,CAMPBELL 1994,,"E: Ramirez's Alligator Lizard
S:  Escorpión Arboricola de Ramirez","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10033,
,Abronia reidi,WERLER & SHANNON 1961,,"S: Escorpión Arboricola de Reid
E: Reid's Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10034,
,Abronia salvadorensis,HIDALGO 1983,,E: Salvador Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10035,
,Abronia smithi,CAMPBELL & FROST 1993,,"E: Smith's Arboreal Alligator Lizard
S: Escorpión Arborícola de Smith","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10036,
,Abronia taeniata,(WIEGMANN 1828),,"S: Escorpión Arborícola de Bandas
E: Banded Arboreal Alligator Lizard, Bromeliad Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10037,
,Abronia vasconcelosii,(BOCOURT 1872),,G: Guatemala-Baumschleiche,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",10038,
,Abronia viridiflava,(BOCOURT 1873),,"E: Dwarf Alligator Lizard
S: Escorpión de Enano","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",16324,
